Title: Quantifying Chemical Tagging: Towards Robust Group Finding in the Galaxy
Authors: A. W. Mitschang (1,2), G. De Silva (3), S. Sharma (4), D. B. Zucker (1,2,3)
	 (1) Macquarie University Research Centre in Astronomy, Astrophysics & Astrophotonics, NSW 2109, Australia
	 (2) Department of Physics & Astronomy, Macquarie University, NSW 2109, Australia
	 (3) Australian Astronomical Observatory, PO Box 915, North Ryde, NSW 1670, Australia
	 (4) Sydney Institute for Astronomy, School of Physics, University of Sydney, NSW 2006, Australia
Table: 3
================================================================================
Byte-by-byte Description of file: lit_abund_database.dat
--------------------------------------------------------------------------------
   Bytes Format Units   Label    Explanations
--------------------------------------------------------------------------------
   1-  8 A8     --      Cluster  Cluster name
  10- 11 I2     --      CID      Unique ID of cluster (per study) in database
  13- 24 A12    --      Star     Star name as given in source text
  26- 29 I4     --      SID      Unique ID of star (per CID) in database
  31- 31 A1     --      Src      Reference code (see Note (1))
  33- 34 A2     --      El       Element species
  36- 42 F7.2   --      Abund    X/Fe abundance relative to Solar (Fe/H for Fe)
  44- 54 F7.2   --      Error    [?] Tabulated Error on abundance
--------------------------------------------------------------------------------
Note (1): The references for single letter reference codes are listed
     	  in table 2 of the published text and NASA Astrophysical
     	  Database System (ADS) BIBCODES are listed below. The ADS
     	  records can be viewed by following a URL of the format:

	        http://adsabs.harvard.edu/abs/{BIBCODE}

NGC2477   6 36288         804 F Na    0.16      
NGC2477   6 36288         804 F Ni   -0.01      
NGC2477   6 36288         804 F Si    0.06      
NGC2477   6 36288         804 F Ti    0.01      
NGC2477   6 36326         805 F Ba    0.55      
NGC2477   6 36326         805 F Ca    0.01      
NGC2477   6 36326         805 F Cr    0.01      
NGC2477   6 36326         805 F Fe    0.10      
NGC2477   6 36326         805 F Na    0.19      
NGC2477   6 36326         805 F Ni    0.06      
NGC2477   6 36326         805 F Si    0.08      
NGC2477   6 36326         805 F Ti    0.02      
NGC2477   6 36363         806 F Ba    0.45      
NGC2477   6 36363         806 F Ca   -0.01      
NGC2477   6 36363         806 F Cr    0.06      
NGC2477   6 36363         806 F Fe    0.05      
NGC2477   6 36363         806 F Na    0.16      
NGC2477   6 36363         806 F Ni    0.02      
NGC2477   6 36363         806 F Si    0.07      
NGC2477   6 36363         806 F Ti    0.00      
NGC2477   6 36385         807 F Ba    0.39      
NGC2477   6 36385         807 F Ca   -0.02      
NGC2477   6 36385         807 F Cr    0.04      
NGC2477   6 36385         807 F Fe    0.07      
NGC2477   6 36385         807 F Na    0.20      
NGC2477   6 36385         807 F Ni   -0.05      
NGC2477   6 36385         807 F Si   -0.01      
NGC2477   6 36385         807 F Ti   -0.01      
NGC2477   6 36449         808 F Ba    0.47      
NGC2477   6 36449         808 F Ca   -0.01      
NGC2477   6 36449         808 F Cr    0.03      
NGC2477   6 36449         808 F Fe    0.12      
NGC2477   6 36449         808 F Na    0.14      
NGC2477   6 36449         808 F Ni   -0.02      
NGC2477   6 36449         808 F Si    0.05      
NGC2477   6 36449         808 F Ti    0.12      
NGC2660   7 296           776 F Ba    0.60      
NGC2660   7 296           776 F Ca   -0.01      
NGC2660   7 296           776 F Cr    0.02      
NGC2660   7 296           776 F Fe    0.08      
NGC2660   7 296           776 F Na    0.14      
NGC2660   7 296           776 F Ni   -0.02      
NGC2660   7 296           776 F Si   -0.05      
