Title: Quantifying Chemical Tagging: Towards Robust Group Finding in the Galaxy
Authors: A. W. Mitschang (1,2), G. De Silva (3), S. Sharma (4), D. B. Zucker (1,2,3)
	 (1) Macquarie University Research Centre in Astronomy, Astrophysics & Astrophotonics, NSW 2109, Australia
	 (2) Department of Physics & Astronomy, Macquarie University, NSW 2109, Australia
	 (3) Australian Astronomical Observatory, PO Box 915, North Ryde, NSW 1670, Australia
	 (4) Sydney Institute for Astronomy, School of Physics, University of Sydney, NSW 2006, Australia
Table: 3
================================================================================
Byte-by-byte Description of file: lit_abund_database.dat
--------------------------------------------------------------------------------
   Bytes Format Units   Label    Explanations
--------------------------------------------------------------------------------
   1-  8 A8     --      Cluster  Cluster name
  10- 11 I2     --      CID      Unique ID of cluster (per study) in database
  13- 24 A12    --      Star     Star name as given in source text
  26- 29 I4     --      SID      Unique ID of star (per CID) in database
  31- 31 A1     --      Src      Reference code (see Note (1))
  33- 34 A2     --      El       Element species
  36- 42 F7.2   --      Abund    X/Fe abundance relative to Solar (Fe/H for Fe)
  44- 54 F7.2   --      Error    [?] Tabulated Error on abundance
--------------------------------------------------------------------------------
Note (1): The references for single letter reference codes are listed
     	  in table 2 of the published text and NASA Astrophysical
     	  Database System (ADS) BIBCODES are listed below. The ADS
     	  records can be viewed by following a URL of the format:

	        http://adsabs.harvard.edu/abs/{BIBCODE}

Hyades   14 HD29159       728 N Ce    0.23      
Hyades   14 HD29159       728 N Fe    0.09      
Hyades   14 HD29159       728 N Mg   -0.13      
Hyades   14 HD29159       728 N Na    0.04      
Hyades   14 HD29159       728 N Nd   -0.10      
Hyades   14 HD29159       728 N Si    0.07      
Hyades   14 HD29159       728 N Ti    0.05      
Hyades   14 HD29159       728 N Zn    0.03      
Hyades   14 HD29159       728 N Zr   -0.04      
Hyades   14 HD29419       729 N Ba    0.44      
Hyades   14 HD29419       729 N Ca    0.11      
Hyades   14 HD29419       729 N Ce   -0.01      
Hyades   14 HD29419       729 N Fe    0.13      
Hyades   14 HD29419       729 N La    1.03      
Hyades   14 HD29419       729 N Mg   -0.05      
Hyades   14 HD29419       729 N Na   -0.06      
Hyades   14 HD29419       729 N Nd   -0.20      
Hyades   14 HD29419       729 N Si    0.01      
Hyades   14 HD29419       729 N Ti   -0.04      
Hyades   14 HD29419       729 N Zn   -0.07      
Hyades   14 HD29419       729 N Zr   -0.08      
Hyades   14 HD30505       730 N Ba    0.34      
Hyades   14 HD30505       730 N Ca    0.02      
Hyades   14 HD30505       730 N Ce    0.09      
Hyades   14 HD30505       730 N Fe    0.13      
Hyades   14 HD30505       730 N Mg   -0.09      
Hyades   14 HD30505       730 N Na   -0.05      
Hyades   14 HD30505       730 N Nd   -0.19      
Hyades   14 HD30505       730 N Si    0.05      
Hyades   14 HD30505       730 N Ti    0.03      
Hyades   14 HD30505       730 N Zn   -0.07      
Hyades   14 HD30505       730 N Zr   -0.07      
Hyades   14 HD30589       731 N Ba    0.40      
Hyades   14 HD30589       731 N Ca    0.09      
Hyades   14 HD30589       731 N Ce   -0.02      
Hyades   14 HD30589       731 N Fe    0.14      
Hyades   14 HD30589       731 N Mg   -0.08      
Hyades   14 HD30589       731 N Na    0.00      
Hyades   14 HD30589       731 N Nd   -0.23      
Hyades   14 HD30589       731 N Si    0.02      
Hyades   14 HD30589       731 N Ti    0.00      
Hyades   14 HD30589       731 N Zn   -0.12      
Hyades   14 HD30589       731 N Zr   -0.04      
Hyades   14 HD31609       732 N Ba    0.34      
Hyades   14 HD31609       732 N Ca    0.02      
Hyades   14 HD31609       732 N Ce    0.07      
Hyades   14 HD31609       732 N Fe    0.14      
Hyades   14 HD31609       732 N La    1.04      
Hyades   14 HD31609       732 N Mg   -0.08      
Hyades   14 HD31609       732 N Na    0.01      
Hyades   14 HD31609       732 N Nd   -0.20      
Hyades   14 HD31609       732 N Si    0.00      
Hyades   14 HD31609       732 N Ti   -0.01      
Hyades   14 HD31609       732 N Zn   -0.10      
Hyades   14 HD31609       732 N Zr   -0.01      
Hyades   14 HD32347       733 N Ba    0.37      
Hyades   14 HD32347       733 N Ca    0.09      
Hyades   14 HD32347       733 N Ce    0.11      
Hyades   14 HD32347       733 N Fe    0.11      
Hyades   14 HD32347       733 N La    1.08      
Hyades   14 HD32347       733 N Mg   -0.02      
Hyades   14 HD32347       733 N Na   -0.05      
Hyades   14 HD32347       733 N Nd   -0.19      
Hyades   14 HD32347       733 N Si    0.06      
Hyades   14 HD32347       733 N Ti    0.03      
Hyades   14 HD32347       733 N Zn   -0.05      
Hyades   14 HD32347       733 N Zr   -0.08      
Hyades   14 HD35768       734 N Ba    0.46      
Hyades   14 HD35768       734 N Ca    0.12      
Hyades   14 HD35768       734 N Ce    0.02      
Hyades   14 HD35768       734 N Fe    0.08      
Hyades   14 HD35768       734 N Mg   -0.02      
Hyades   14 HD35768       734 N Na    0.08      
Hyades   14 HD35768       734 N Nd   -0.13      
Hyades   14 HD35768       734 N Si    0.05      
Hyades   14 HD35768       734 N Ti    0.12      
Hyades   14 HD35768       734 N Zn   -0.10      
Hyades   14 HD35768       734 N Zr    0.00      
Hyades   14 HD240648      735 N Ba    0.31      
Hyades   14 HD240648      735 N Ca    0.09      
Hyades   14 HD240648      735 N Ce    0.06      
Hyades   14 HD240648      735 N Fe    0.14      
Hyades   14 HD240648      735 N Mg   -0.05      
Hyades   14 HD240648      735 N Na   -0.01      
Hyades   14 HD240648      735 N Nd   -0.22      
Hyades   14 HD240648      735 N Si    0.02      
Hyades   14 HD240648      735 N Ti    0.03      
Hyades   14 HD240648      735 N Zn   -0.02      
Hyades   14 HD240648      735 N Zr   -0.10      
Hyades   14 HD242780      736 N Ba    0.34      
Hyades   14 HD242780      736 N Ca    0.09      
Hyades   14 HD242780      736 N Ce    0.08      
Hyades   14 HD242780      736 N Fe    0.12      
Hyades   14 HD242780      736 N Mg   -0.05      
Hyades   14 HD242780      736 N Na    0.02      
Hyades   14 HD242780      736 N Nd   -0.19      
Hyades   14 HD242780      736 N Si    0.07      
Hyades   14 HD242780      736 N Ti    0.07      
Hyades   14 HD242780      736 N Zn   -0.04      
Hyades   14 HD242780      736 N Zr   -0.10      
Hyades   14 HD283704      737 N Ba    0.37      
Hyades   14 HD283704      737 N Ca    0.06      
Hyades   14 HD283704      737 N Ce    0.14      
Hyades   14 HD283704      737 N Fe    0.09      
Hyades   14 HD283704      737 N Mg   -0.04      
Hyades   14 HD283704      737 N Na    0.01      
Hyades   14 HD283704      737 N Nd   -0.10      
Hyades   14 HD283704      737 N Si    0.07      
Hyades   14 HD283704      737 N Ti    0.03      
Hyades   14 HD283704      737 N Zn   -0.07      
Hyades   14 HD283704      737 N Zr   -0.08      
Hyades   14 HD284253      738 N Ba    0.35      
Hyades   14 HD284253      738 N Ca    0.06      
Hyades   14 HD284253      738 N Ce    0.12      
Hyades   14 HD284253      738 N Fe    0.14      
Hyades   14 HD284253      738 N Mg   -0.06      
Hyades   14 HD284253      738 N Na    0.02      
Hyades   14 HD284253      738 N Nd   -0.17      
Hyades   14 HD284253      738 N Si    0.00      
Hyades   14 HD284253      738 N Ti    0.02      
Hyades   14 HD284253      738 N Zn   -0.05      
Hyades   14 HD284253      738 N Zr   -0.04      
Hyades   14 HD284574      739 N Ba    0.33      
Hyades   14 HD284574      739 N Ca    0.08      
Hyades   14 HD284574      739 N Ce    0.06      
Hyades   14 HD284574      739 N Fe    0.13      
Hyades   14 HD284574      739 N La    1.04      
Hyades   14 HD284574      739 N Mg   -0.04      
Hyades   14 HD284574      739 N Na    0.01      
Hyades   14 HD284574      739 N Nd   -0.20      
Hyades   14 HD284574      739 N Si    0.08      
Hyades   14 HD284574      739 N Ti    0.05      
Hyades   14 HD284574      739 N Zn    0.00      
Hyades   14 HD284574      739 N Zr   -0.10      
Hyades   14 HD285252      740 N Ba    0.38      
Hyades   14 HD285252      740 N Ca    0.08      
Hyades   14 HD285252      740 N Ce    0.14      
Hyades   14 HD285252      740 N Fe    0.14      
Hyades   14 HD285252      740 N Mg   -0.11      
Hyades   14 HD285252      740 N Na   -0.03      
Hyades   14 HD285252      740 N Nd   -0.14      
Hyades   14 HD285252      740 N Si    0.10      
Hyades   14 HD285252      740 N Ti   -0.06      
Hyades   14 HD285252      740 N Zn   -0.07      
Hyades   14 HD285252      740 N Zr   -0.04      
Hyades   14 HD285367      741 N Ba    0.34      
Hyades   14 HD285367      741 N Ca    0.03      
Hyades   14 HD285367      741 N Ce    0.16      
Hyades   14 HD285367      741 N Fe    0.11      
Hyades   14 HD285367      741 N Mg   -0.08      
Hyades   14 HD285367      741 N Na   -0.05      
Hyades   14 HD285367      741 N Nd   -0.10      
Hyades   14 HD285367      741 N Si    0.05      
Hyades   14 HD285367      741 N Ti    0.02      
Hyades   14 HD285367      741 N Zn   -0.10      
Hyades   14 HD285367      741 N Zr   -0.13      
Hyades   14 HD285690      742 N Ba    0.34      
Hyades   14 HD285690      742 N Ca    0.03      
Hyades   14 HD285690      742 N Ce    0.14      
Hyades   14 HD285690      742 N Fe    0.08      
Hyades   14 HD285690      742 N La    1.07      
Hyades   14 HD285690      742 N Mg   -0.06      
Hyades   14 HD285690      742 N Na   -0.08      
Hyades   14 HD285690      742 N Nd   -0.10      
Hyades   14 HD285690      742 N Si    0.05      
Hyades   14 HD285690      742 N Ti    0.02      
Hyades   14 HD285690      742 N Zn   -0.09      
Hyades   14 HD285690      742 N Zr   -0.11      
Hyades   14 HD285773      743 N Ba    0.29      
Hyades   14 HD285773      743 N Ca    0.02      
Hyades   14 HD285773      743 N Ce    0.07      
Hyades   14 HD285773      743 N Fe    0.14      
Hyades   14 HD285773      743 N La    1.06      
Hyades   14 HD285773      743 N Mg   -0.09      
Hyades   14 HD285773      743 N Na    0.01      
Hyades   14 HD285773      743 N Nd   -0.12      
Hyades   14 HD285773      743 N Si    0.02      
Hyades   14 HD285773      743 N Ti    0.00      
Hyades   14 HD285773      743 N Zn   -0.06      
Hyades   14 HD285773      743 N Zr   -0.05      
Hyades   14 HD285830      744 N Ba    0.32      
Hyades   14 HD285830      744 N Ca    0.03      
Hyades   14 HD285830      744 N Ce    0.17      
Hyades   14 HD285830      744 N Fe    0.22      
Hyades   14 HD285830      744 N La    1.04      
Hyades   14 HD285830      744 N Mg   -0.14      
Hyades   14 HD285830      744 N Na   -0.08      
Hyades   14 HD285830      744 N Nd   -0.19      
Hyades   14 HD285830      744 N Si    0.03      
Hyades   14 HD285830      744 N Ti    0.03      
Hyades   14 HD285830      744 N Zn   -0.12      
Hyades   14 HD285830      744 N Zr   -0.06      
Hyades   14 HD434535      745 N Ba    0.40      
Hyades   14 HD434535      745 N Ca    0.02      
Hyades   14 HD434535      745 N Ce    0.16      
Hyades   14 HD434535      745 N Fe    0.14      
Hyades   14 HD434535      745 N Mg   -0.09      
Hyades   14 HD434535      745 N Na   -0.02      
Hyades   14 HD434535      745 N Nd   -0.14      
Hyades   14 HD434535      745 N Si    0.02      
Hyades   14 HD434535      745 N Ti    0.03      
Hyades   14 HD434535      745 N Zn   -0.07      
Hyades   14 HD434535      745 N Zr   -0.04      
Berenice 15 {HD 106103}   881 R Ba    0.77 0.11 
Berenice 15 {HD 106103}   881 R Co   -0.10 0.26 
Berenice 15 {HD 106103}   881 R Cr   -0.04 0.11 
Berenice 15 {HD 106103}   881 R Fe    0.09 0.05 
Berenice 15 {HD 106103}   881 R Mg    0.20 0.21 
Berenice 15 {HD 106103}   881 R Mn   -0.14 0.08 
Berenice 15 {HD 106103}   881 R Na   -0.13 0.06 
Berenice 15 {HD 106103}   881 R Ni    0.04 0.08 
Berenice 15 {HD 106103}   881 R Sc   -0.09 0.09 
Berenice 15 {HD 106103}   881 R Si    0.01 0.11 
Berenice 15 {HD 106103}   881 R Sr    0.11 0.15 
Berenice 15 {HD 106103}   881 R Ti   -0.09 0.11 
Berenice 15 {HD 106103}   881 R V     0.34 0.15 
Berenice 15 {HD 106103}   881 R Y    -0.09 0.09 
Berenice 15 {HD 106103}   881 R Zr   -0.05 0.12 
Berenice 15 HD 106293     882 R Ba    0.45 0.28 
Berenice 15 HD 106293     882 R Co    0.25 0.31 
Berenice 15 HD 106293     882 R Cr   -0.08 0.19 
Berenice 15 HD 106293     882 R Fe    0.19 0.17 
Berenice 15 HD 106293     882 R Mg    0.26 0.24 
Berenice 15 HD 106293     882 R Mn   -0.14 0.19 
Berenice 15 HD 106293     882 R Na   -0.17 0.24 
Berenice 15 HD 106293     882 R Ni    0.02 0.27 
Berenice 15 HD 106293     882 R Sc   -0.26 0.22 
Berenice 15 HD 106293     882 R Si    0.07 0.20 
Berenice 15 HD 106293     882 R Sr   -0.20 0.17 
Berenice 15 HD 106293     882 R Ti   -0.17 0.23 
Berenice 15 HD 106293     882 R V     0.42 0.25 
Berenice 15 HD 106293     882 R Y    -0.17 0.18 
Berenice 15 HD 106293     882 R Zr   -0.23 0.19 
Berenice 15 HD 106691     883 R Ba    0.72 0.26 
Berenice 15 HD 106691     883 R Co    0.71 0.21 
Berenice 15 HD 106691     883 R Cr    0.12 0.20 
Berenice 15 HD 106691     883 R Fe   -0.08 0.16 
Berenice 15 HD 106691     883 R Mg    0.38 0.24 
Berenice 15 HD 106691     883 R Mn    0.16 0.18 
Berenice 15 HD 106691     883 R Na    0.02 0.25 
Berenice 15 HD 106691     883 R Ni    0.04 0.17 
Berenice 15 HD 106691     883 R Sc    0.07 0.22 
Berenice 15 HD 106691     883 R Si    0.20 0.17 
Berenice 15 HD 106691     883 R Sr    0.23 0.16 
Berenice 15 HD 106691     883 R Ti    0.08 0.21 
Berenice 15 HD 106691     883 R V     0.50 0.36 
Berenice 15 HD 106691     883 R Y     0.12 0.17 
Berenice 15 HD 106691     883 R Zr    0.57 0.21 
Berenice 15 HD 106946     884 R Ba    0.40 0.17 
Berenice 15 HD 106946     884 R Co    0.11 0.26 
Berenice 15 HD 106946     884 R Cr   -0.07 0.19 
Berenice 15 HD 106946     884 R Fe    0.17 0.08 
Berenice 15 HD 106946     884 R Mg    0.27 0.19 
Berenice 15 HD 106946     884 R Mn   -0.10 0.10 
Berenice 15 HD 106946     884 R Na   -0.09 0.16 
Berenice 15 HD 106946     884 R Ni   -0.20 0.19 
Berenice 15 HD 106946     884 R Sc   -0.22 0.18 
Berenice 15 HD 106946     884 R Si    0.08 0.10 
Berenice 15 HD 106946     884 R Sr   -0.06 0.12 
Berenice 15 HD 106946     884 R Ti    0.03 0.18 
Berenice 15 HD 106946     884 R V     0.41 0.44 
Berenice 15 HD 106946     884 R Y     0.06 0.20 
Berenice 15 HD 106946     884 R Zr    0.20 0.12 
Berenice 15 {HD 107611}   885 R Ba    0.75 0.11 
Berenice 15 {HD 107611}   885 R Co   -0.19 0.33 
Berenice 15 {HD 107611}   885 R Cr    0.01 0.09 
Berenice 15 {HD 107611}   885 R Fe    0.09 0.05 
Berenice 15 {HD 107611}   885 R Mg    0.14 0.18 
Berenice 15 {HD 107611}   885 R Mn   -0.08 0.07 
Berenice 15 {HD 107611}   885 R Na   -0.19 0.06 
Berenice 15 {HD 107611}   885 R Ni   -0.14 0.07 
Berenice 15 {HD 107611}   885 R Sc   -0.14 0.09 
Berenice 15 {HD 107611}   885 R Si    0.13 0.13 
Berenice 15 {HD 107611}   885 R Sr    0.05 0.17 
Berenice 15 {HD 107611}   885 R Ti    0.05 0.07 
Berenice 15 {HD 107611}   885 R V     0.58 0.11 
Berenice 15 {HD 107611}   885 R Y     0.01 0.13 
Berenice 15 {HD 107611}   885 R Zr    0.04 0.17 
Berenice 15 {HD 109530}   886 R Ba    0.28 0.16 
Berenice 15 {HD 109530}   886 R Co   -0.17 0.25 
Berenice 15 {HD 109530}   886 R Cr   -0.13 0.12 
Berenice 15 {HD 109530}   886 R Fe    0.14 0.09 
Berenice 15 {HD 109530}   886 R Mg    0.23 0.14 
Berenice 15 {HD 109530}   886 R Mn   -0.34 0.32 
Berenice 15 {HD 109530}   886 R Na    0.01 0.15 
Berenice 15 {HD 109530}   886 R Ni    0.06 0.14 
Berenice 15 {HD 109530}   886 R Sc   -0.09 0.16 
Berenice 15 {HD 109530}   886 R Si   -0.02 0.29 
Berenice 15 {HD 109530}   886 R Sr    0.12 0.21 
Berenice 15 {HD 109530}   886 R Ti    0.10 0.13 
Berenice 15 {HD 109530}   886 R V     0.29 0.34 
Berenice 15 {HD 109530}   886 R Y    -0.09 0.21 
Berenice 15 {HD 109530}   886 R Zr   -0.28 0.16 
Berenice 15 HD 107877     887 R Ba    0.40 0.16 
Berenice 15 HD 107877     887 R Co   -0.45 0.30 
Berenice 15 HD 107877     887 R Cr    0.17 0.15 
Berenice 15 HD 107877     887 R Fe    0.14 0.13 
Berenice 15 HD 107877     887 R Mg    0.25 0.22 
Berenice 15 HD 107877     887 R Mn    0.00 0.17 
Berenice 15 HD 107877     887 R Na   -0.28 0.13 
Berenice 15 HD 107877     887 R Ni   -0.03 0.15 
Berenice 15 HD 107877     887 R Ti    0.03 0.26 
Berenice 15 HD 107877     887 R V     0.48 0.29 
Berenice 15 HD 107877     887 R Zr   -0.01 0.21 
Berenice 15 HD 108154     888 R Ba    0.53 0.14 
Berenice 15 HD 108154     888 R Co   -0.35 0.31 
Berenice 15 HD 108154     888 R Cr    0.37 0.13 
Berenice 15 HD 108154     888 R Fe    0.01 0.11 
Berenice 15 HD 108154     888 R Mg    0.14 0.21 
Berenice 15 HD 108154     888 R Mn    0.12 0.17 
Berenice 15 HD 108154     888 R Na   -0.14 0.23 
Berenice 15 HD 108154     888 R Ni    0.08 0.13 
Berenice 15 HD 108154     888 R Ti    0.17 0.17 
Berenice 15 HD 108154     888 R V     0.11 0.37 
Berenice 15 HD 108154     888 R Zr    0.02 0.20 
Berenice 15 HD 108226     889 R Ba    0.54 0.14 
Berenice 15 HD 108226     889 R Co   -0.34 0.35 
Berenice 15 HD 108226     889 R Cr    0.33 0.13 
Berenice 15 HD 108226     889 R Fe    0.05 0.11 
Berenice 15 HD 108226     889 R Mg    0.17 0.21 
Berenice 15 HD 108226     889 R Mn    0.06 0.13 
Berenice 15 HD 108226     889 R Na   -0.01 0.25 
Berenice 15 HD 108226     889 R Ni    0.03 0.13 
Berenice 15 HD 108226     889 R Ti    0.19 0.17 
Berenice 15 HD 108226     889 R V     0.52 0.27 
Berenice 15 HD 108226     889 R Zr   -0.11 0.20 
Berenice 15 HD 108976     890 R Ba    0.29 0.17 
Berenice 15 HD 108976     890 R Co   -0.28 0.21 
Berenice 15 HD 108976     890 R Cr    0.23 0.16 
Berenice 15 HD 108976     890 R Fe   -0.01 0.14 
Berenice 15 HD 108976     890 R Mg    0.14 0.22 
Berenice 15 HD 108976     890 R Mn   -0.45 0.18 
Berenice 15 HD 108976     890 R Na    0.03 0.24 
Berenice 15 HD 108976     890 R Ni    0.04 0.19 
Berenice 15 HD 108976     890 R Ti    0.10 0.20 
Berenice 15 HD 108976     890 R V     0.56 0.18 
Berenice 15 HD 108976     890 R Zr   -0.48 0.22 
Berenice 15 HD 109069     891 R Ba    0.40 0.19 
Berenice 15 HD 109069     891 R Co    0.47 0.40 
Berenice 15 HD 109069     891 R Fe   -0.03 0.17 
Berenice 15 HD 109069     891 R Mg    0.44 0.24 
Berenice 15 HD 109069     891 R Ni    0.32 0.22 
Berenice 15 HD 109069     891 R Ti    0.02 0.27 
Berenice 15 HD 109069     891 R V     0.42 0.17 
Berenice 15 HD 109069     891 R Zr   -0.01 0.24 
Pleiades 16 HD 23351      858 S Ba    0.77 0.27 
Pleiades 16 HD 23351      858 S Ca   -0.06 0.18 
Pleiades 16 HD 23351      858 S Co   -0.27 0.27 
Pleiades 16 HD 23351      858 S Cr   -0.03 0.20 
Pleiades 16 HD 23351      858 S Fe    0.06 0.15 
Pleiades 16 HD 23351      858 S Mg    0.08 0.39 
Pleiades 16 HD 23351      858 S Mn   -0.04 0.20 
Pleiades 16 HD 23351      858 S Na   -0.26 0.22 
Pleiades 16 HD 23351      858 S Ni   -0.07 0.28 
Pleiades 16 HD 23351      858 S Sc   -0.07 0.27 
Pleiades 16 HD 23351      858 S Si   -0.01 0.18 
Pleiades 16 HD 23351      858 S Sr   -0.03 0.15 
Pleiades 16 HD 23351      858 S Ti    0.01 0.26 
Pleiades 16 HD 23351      858 S V     0.23 0.20 
Pleiades 16 HD 23351      858 S Y     0.05 0.17 
Pleiades 16 HD 23351      858 S Zr    0.13 0.25 
Pleiades 16 HD 23609      859 S Ba    0.66 0.28 
Pleiades 16 HD 23609      859 S Ca    0.28 0.26 
Pleiades 16 HD 23609      859 S Co    0.25 0.23 
Pleiades 16 HD 23609      859 S Cr    0.07 0.19 
Pleiades 16 HD 23609      859 S Fe    0.08 0.17 
Pleiades 16 HD 23609      859 S Mg    0.00 0.40 
Pleiades 16 HD 23609      859 S Mn    0.23 0.27 
Pleiades 16 HD 23609      859 S Na    0.14 0.19 
Pleiades 16 HD 23609      859 S Ni    0.19 0.21 
Pleiades 16 HD 23609      859 S Sc    0.06 0.20 
Pleiades 16 HD 23609      859 S Si    0.14 0.18 
Pleiades 16 HD 23609      859 S Sr   -0.02 0.18 
Pleiades 16 HD 23609      859 S Ti   -0.02 0.22 
Pleiades 16 HD 23609      859 S V     0.56 0.31 
Pleiades 16 HD 23609      859 S Y     0.06 0.19 
Pleiades 16 HD 23609      859 S Zr    0.14 0.21 
Pleiades 16 HD 23247      860 S Ba    0.59 0.26 
Pleiades 16 HD 23247      860 S Ca   -0.06 0.16 
Pleiades 16 HD 23247      860 S Co   -0.07 0.59 
Pleiades 16 HD 23247      860 S Cr   -0.02 0.20 
Pleiades 16 HD 23247      860 S Fe    0.06 0.16 
Pleiades 16 HD 23247      860 S Mg    0.37 0.39 
Pleiades 16 HD 23247      860 S Mn   -0.17 0.21 
Pleiades 16 HD 23247      860 S Na   -0.20 0.23 
Pleiades 16 HD 23247      860 S Ni   -0.10 0.24 
Pleiades 16 HD 23247      860 S Sc   -0.11 0.27 
Pleiades 16 HD 23247      860 S Si    0.28 0.17 
Pleiades 16 HD 23247      860 S Sr    0.03 0.17 
Pleiades 16 HD 23247      860 S Ti    0.06 0.30 
Pleiades 16 HD 23247      860 S V     0.51 0.31 
Pleiades 16 HD 23247      860 S Y    -0.08 0.19 
Pleiades 16 HD 23247      860 S Zr    0.31 0.26 
Pleiades 16 HD 23732      861 S Ba    0.73 0.25 
Pleiades 16 HD 23732      861 S Ca    0.28 0.16 
Pleiades 16 HD 23732      861 S Co    0.14 0.17 
Pleiades 16 HD 23732      861 S Cr    0.00 0.17 
Pleiades 16 HD 23732      861 S Fe    0.02 0.09 
Pleiades 16 HD 23732      861 S Mg    0.19 0.37 
Pleiades 16 HD 23732      861 S Mn    0.11 0.18 
Pleiades 16 HD 23732      861 S Na   -0.17 0.17 
Pleiades 16 HD 23732      861 S Ni    0.01 0.22 
Pleiades 16 HD 23732      861 S Sc   -0.07 0.23 
Pleiades 16 HD 23732      861 S Si    0.14 0.15 
Pleiades 16 HD 23732      861 S Sr    0.04 0.09 
Pleiades 16 HD 23732      861 S Ti    0.04 0.23 
Pleiades 16 HD 23732      861 S V     0.41 0.40 
Pleiades 16 HD 23732      861 S Y     0.04 0.15 
Pleiades 16 HD 23732      861 S Zr    0.28 0.16 
Pleiades 16 HD 23511      862 S Ba    0.71 0.27 
Pleiades 16 HD 23511      862 S Ca    0.25 0.20 
Pleiades 16 HD 23511      862 S Co   -0.38 0.26 
Pleiades 16 HD 23511      862 S Cr    0.00 0.18 
Pleiades 16 HD 23511      862 S Fe    0.08 0.11 
Pleiades 16 HD 23511      862 S Mg    0.25 0.38 
Pleiades 16 HD 23511      862 S Mn    0.14 0.23 
Pleiades 16 HD 23511      862 S Na   -0.11 0.32 
Pleiades 16 HD 23511      862 S Ni    0.12 0.25 
Pleiades 16 HD 23511      862 S Sc   -0.02 0.29 
Pleiades 16 HD 23511      862 S Si    0.26 0.14 
Pleiades 16 HD 23511      862 S Sr    0.04 0.12 
Pleiades 16 HD 23511      862 S Ti    0.06 0.25 
Pleiades 16 HD 23511      862 S V     0.27 0.34 
Pleiades 16 HD 23511      862 S Y     0.03 0.19 
Pleiades 16 HD 23511      862 S Zr    0.56 0.36 
M11      17 S660          926 L Al    0.12 0.10 
M11      17 S660          926 L Ca    0.00 0.08 
M11      17 S660          926 L Eu    0.00 0.15 
M11      17 S660          926 L La    0.17 0.12 
M11      17 S660          926 L Na    0.23 0.14 
M11      17 S660          926 L Ni    0.00 0.10 
M11      17 S660          926 L Sc    0.00 0.07 
M11      17 S660          926 L Si    0.05 0.10 
M11      17 S660          926 L Ti    0.06 0.15 
M11      17 S669          927 L Al    0.22 0.10 
M11      17 S669          927 L Ca    0.00 0.09 
M11      17 S669          927 L Co    0.00 0.15 
M11      17 S669          927 L Eu    0.00 0.15 
M11      17 S669          927 L La    0.03 0.12 
M11      17 S669          927 L Na    0.23 0.12 
M11      17 S669          927 L Ni    0.00 0.10 
M11      17 S669          927 L Sc    0.00 0.06 
M11      17 S669          927 L Si    0.25 0.10 
M11      17 S669          927 L Ti    0.01 0.12 
M11      17 S686          928 L Al    0.22 0.10 
M11      17 S686          928 L Ca    0.00 0.07 
M11      17 S686          928 L Co    0.00 0.15 
M11      17 S686          928 L Eu    0.00 0.15 
M11      17 S686          928 L La    0.27 0.12 
M11      17 S686          928 L Na    0.03 0.13 
M11      17 S686          928 L Ni    0.00 0.10 
M11      17 S686          928 L Sc    0.08 0.07 
M11      17 S686          928 L Si    0.27 0.10 
M11      17 S686          928 L Ti    0.08 0.15 
M11      17 S916          929 L Al    0.22 0.10 
M11      17 S916          929 L Ca    0.00 0.07 
M11      17 S916          929 L Co    0.00 0.15 
M11      17 S916          929 L Eu    0.00 0.15 
M11      17 S916          929 L La    0.17 0.12 
M11      17 S916          929 L Na    0.32 0.14 
M11      17 S916          929 L Ni    0.00 0.10 
M11      17 S916          929 L Sc    0.00 0.07 
M11      17 S916          929 L Si    0.34 0.10 
M11      17 S916          929 L Ti    0.01 0.12 
NGC3680  28 5            1211 Q Ca   -0.01 0.06 
NGC3680  28 5            1211 Q Cr   -0.16 0.17 
NGC3680  28 5            1211 Q Fe   -0.17 0.07 
NGC3680  28 5            1211 Q Mg   -0.11 0.05 
NGC3680  28 5            1211 Q Na   -0.14 0.12 
NGC3680  28 5            1211 Q Ni   -0.09 0.07 
NGC3680  28 5            1211 Q Si    0.01 0.08 
NGC3680  28 5            1211 Q Ti    0.11 0.07 
NGC3680  28 5            1211 Q Y     0.11 0.04 
NGC3680  28 5            1211 Q Zn   -0.16 0.03 
NGC3680  28 11           1217 Q Al   -0.06 0.07 
NGC3680  28 11           1217 Q Ba    0.16 0.07 
NGC3680  28 11           1217 Q Ca   -0.14 0.09 
NGC3680  28 11           1217 Q Cr    0.01 0.07 
NGC3680  28 11           1217 Q Fe    0.04 0.08 
NGC3680  28 11           1217 Q La    0.35 0.06 
NGC3680  28 11           1217 Q Mg   -0.05 0.07 
NGC3680  28 11           1217 Q Na    0.05 0.11 
NGC3680  28 11           1217 Q Nd    0.56 0.08 
NGC3680  28 11           1217 Q Ni   -0.07 0.08 
NGC3680  28 11           1217 Q Si    0.04 0.08 
NGC3680  28 11           1217 Q Ti    0.17 0.06 
NGC3680  28 11           1217 Q Y     0.25 0.10 
NGC3680  28 11           1217 Q Zn   -0.34 0.06 
NGC3680  28 13           1219 Q Al    0.12 0.07 
NGC3680  28 13           1219 Q Ba    0.16 0.07 
NGC3680  28 13           1219 Q Ca   -0.09 0.09 
NGC3680  28 13           1219 Q Cr    0.09 0.07 
NGC3680  28 13           1219 Q Fe   -0.01 0.08 
NGC3680  28 13           1219 Q La    0.31 0.06 
NGC3680  28 13           1219 Q Mg    0.00 0.07 
